node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
adenosine_durations,0.14822149276733398,2022-08-20T06:40:48.803645,2022-08-20T06:40:48.957872,success,80302,Thread-2
age_histogram,0.4284813404083252,2022-08-20T06:40:48.804308,2022-08-20T06:40:49.239265,success,80302,Thread-3
arterial_line_durations,0.2346813678741455,2022-08-20T06:40:49.240117,2022-08-20T06:40:49.478725,success,80302,Thread-3
auroc,0.20751261711120605,2022-08-20T06:40:49.479794,2022-08-20T06:40:49.691255,success,80302,Thread-3
basic_patient_info,0.11611318588256836,2022-08-20T06:40:49.692363,2022-08-20T06:40:49.812322,success,80302,Thread-3
blood_gas_first_day,0.29064083099365234,2022-08-20T06:40:49.813273,2022-08-20T06:40:50.107275,success,80302,Thread-3
bun,0.3054769039154053,2022-08-20T06:40:50.107857,2022-08-20T06:40:50.416968,success,80302,Thread-3
central_line_durations,0.18007421493530273,2022-08-20T06:40:50.417923,2022-08-20T06:40:50.601050,success,80302,Thread-3
code_status,0.19612622261047363,2022-08-20T06:40:50.601787,2022-08-20T06:40:50.801087,success,80302,Thread-3
colloid_bolus,0.2725188732147217,2022-08-20T06:40:50.801877,2022-08-20T06:40:51.077585,success,80302,Thread-3
crrt_durations,0.09378623962402344,2022-08-20T06:40:51.078529,2022-08-20T06:40:51.175616,success,80302,Thread-3
crystalloid_bolus,2.167670249938965,2022-08-20T06:40:51.176384,2022-08-20T06:40:53.347319,success,80302,Thread-3
angus,4.627308130264282,2022-08-20T06:40:48.959050,2022-08-20T06:40:53.588616,success,80302,Thread-2
dobutamine_durations,2.2438693046569824,2022-08-20T06:40:53.589452,2022-08-20T06:40:55.836396,success,80302,Thread-2
dobutamine_dose,2.593535900115967,2022-08-20T06:40:53.348137,2022-08-20T06:40:55.945037,success,80302,Thread-3
dopamine_durations,4.172851085662842,2022-08-20T06:40:55.945761,2022-08-20T06:41:00.122147,success,80302,Thread-3
echo_data,0.13554739952087402,2022-08-20T06:41:00.122997,2022-08-20T06:41:00.262682,success,80302,Thread-3
dopamine_dose,4.478807687759399,2022-08-20T06:40:55.837712,2022-08-20T06:41:00.320361,success,80302,Thread-2
elixhauser_ahrq_v37_no_drg,0.9824671745300293,2022-08-20T06:41:00.322167,2022-08-20T06:41:01.308002,success,80302,Thread-2
