node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
adenosine_durations,0.20299053192138672,2022-08-20T01:36:47.728763,2022-08-20T01:36:47.941246,success,42193,Thread-2
arterial_line_durations,0.33489227294921875,2022-08-20T01:36:47.730502,2022-08-20T01:36:48.076067,success,42193,Thread-5
auroc,0.2559473514556885,2022-08-20T01:36:47.942416,2022-08-20T01:36:48.203405,success,42193,Thread-2
basic_patient_info,0.12366867065429688,2022-08-20T01:36:48.076976,2022-08-20T01:36:48.204170,success,42193,Thread-5
age_histogram,0.6499707698822021,2022-08-20T01:36:47.729261,2022-08-20T01:36:48.389206,success,42193,Thread-3
bun,0.459425687789917,2022-08-20T01:36:48.205815,2022-08-20T01:36:48.670601,success,42193,Thread-5
central_line_durations,0.2876698970794678,2022-08-20T01:36:48.389823,2022-08-20T01:36:48.694369,success,42193,Thread-3
blood_gas_first_day,0.5496420860290527,2022-08-20T01:36:48.205130,2022-08-20T01:36:48.766944,success,42193,Thread-2
crrt_durations,0.11253571510314941,2022-08-20T01:36:48.768696,2022-08-20T01:36:48.885348,success,42193,Thread-2
code_status,0.3835453987121582,2022-08-20T01:36:48.676824,2022-08-20T01:36:49.066297,success,42193,Thread-5
colloid_bolus,0.46199560165405273,2022-08-20T01:36:48.697188,2022-08-20T01:36:49.173380,success,42193,Thread-3
crystalloid_bolus,2.859635591506958,2022-08-20T01:36:48.886139,2022-08-20T01:36:51.749504,success,42193,Thread-2
dobutamine_durations,3.5005204677581787,2022-08-20T01:36:49.174078,2022-08-20T01:36:52.678072,success,42193,Thread-3
dobutamine_dose,3.8322370052337646,2022-08-20T01:36:49.067066,2022-08-20T01:36:52.902805,success,42193,Thread-5
echo_data,0.06836175918579102,2022-08-20T01:36:52.903876,2022-08-20T01:36:52.974849,success,42193,Thread-5
angus,6.160932540893555,2022-08-20T01:36:47.730157,2022-08-20T01:36:53.900703,success,42193,Thread-4
elixhauser_ahrq_v37_no_drg,1.5513439178466797,2022-08-20T01:36:53.901287,2022-08-20T01:36:55.455689,success,42193,Thread-4
elixhauser_ahrq_v37,4.120417833328247,2022-08-20T01:36:52.975710,2022-08-20T01:36:57.099469,success,42193,Thread-5
dopamine_dose,5.746209144592285,2022-08-20T01:36:51.750123,2022-08-20T01:36:57.499744,success,42193,Thread-2
dopamine_durations,4.887267112731934,2022-08-20T01:36:52.678777,2022-08-20T01:36:57.569067,success,42193,Thread-3
explicit,0.47698378562927246,2022-08-20T01:36:57.500706,2022-08-20T01:36:57.981064,success,42193,Thread-2
ffp_transfusion,0.47237610816955566,2022-08-20T01:36:57.569824,2022-08-20T01:36:58.044707,success,42193,Thread-3
gcs_first_day,0.1936650276184082,2022-08-20T01:36:58.045385,2022-08-20T01:36:58.242152,success,42193,Thread-3
gcs,0.5022392272949219,2022-08-20T01:36:57.981716,2022-08-20T01:36:58.499177,success,42193,Thread-2
glucose,0.39736366271972656,2022-08-20T01:36:58.242778,2022-08-20T01:36:59.235852,success,42193,Thread-3
hco,0.41535139083862305,2022-08-20T01:36:58.500213,2022-08-20T01:36:59.237336,success,42193,Thread-2
height,0.09581613540649414,2022-08-20T01:36:59.238991,2022-08-20T01:36:59.340326,success,42193,Thread-2
epinephrine_durations,2.4233226776123047,2022-08-20T01:36:57.101002,2022-08-20T01:36:59.527626,success,42193,Thread-5
elixhauser_quan,4.143618106842041,2022-08-20T01:36:55.456943,2022-08-20T01:36:59.604918,success,42193,Thread-4
heart_rate,0.4600706100463867,2022-08-20T01:36:59.238232,2022-08-20T01:36:59.704798,success,42193,Thread-3
icd9count,0.17221498489379883,2022-08-20T01:36:59.528553,2022-08-20T01:36:59.706141,success,42193,Thread-5
icd9vicd9count,0.23550748825073242,2022-08-20T01:36:59.707733,2022-08-20T01:36:59.949773,success,42193,Thread-5
icd9agelimited,0.6217386722564697,2022-08-20T01:36:59.341649,2022-08-20T01:36:59.967267,success,42193,Thread-2
icd9vagehistogram,0.3926723003387451,2022-08-20T01:36:59.605981,2022-08-20T01:37:00.006090,success,42193,Thread-4
icustay_days,0.0744163990020752,2022-08-20T01:36:59.954649,2022-08-20T01:37:00.049994,error,42193,Thread-5
isuprel_durations,0.07529473304748535,2022-08-20T01:37:00.056869,2022-08-20T01:37:00.135545,success,42193,Thread-5
icd9vicd9agelimited,0.6092329025268555,2022-08-20T01:36:59.706854,2022-08-20T01:37:00.320901,success,42193,Thread-3
icustay_times,0.36232614517211914,2022-08-20T01:37:00.026644,2022-08-20T01:37:00.394095,success,42193,Thread-4
icustay_detail,1.3420329093933105,2022-08-20T01:36:59.971078,2022-08-20T01:37:01.320941,success,42193,Thread-2
kdigo_creatinine,1.4065937995910645,2022-08-20T01:37:00.137054,2022-08-20T01:37:01.546141,success,42193,Thread-5
min_surviving_bp,0.38596224784851074,2022-08-20T01:37:01.546608,2022-08-20T01:37:01.935773,success,42193,Thread-5
martin,1.894824504852295,2022-08-20T01:37:00.394874,2022-08-20T01:37:02.293441,success,42193,Thread-4
mortality,0.569072961807251,2022-08-20T01:37:01.936457,2022-08-20T01:37:02.509709,success,42193,Thread-5
labs_first_day,2.5928115844726562,2022-08-20T01:37:00.321841,2022-08-20T01:37:02.917699,success,42193,Thread-3
number_of_patients,0.08554816246032715,2022-08-20T01:37:02.918726,2022-08-20T01:37:03.008406,success,42193,Thread-3
milrinone_durations,2.0390424728393555,2022-08-20T01:37:01.322128,2022-08-20T01:37:03.364911,success,42193,Thread-2
neuroblock_dose,1.5133862495422363,2022-08-20T01:37:02.294214,2022-08-20T01:37:03.809822,success,42193,Thread-4
pivoted_bg,0.18288636207580566,2022-08-20T01:37:03.810357,2022-08-20T01:37:03.995548,success,42193,Thread-4
pivoted_fio2,0.08832263946533203,2022-08-20T01:37:03.996270,2022-08-20T01:37:04.087084,success,42193,Thread-4
pivoted_gcs,0.07481908798217773,2022-08-20T01:37:04.087611,2022-08-20T01:37:04.164903,success,42193,Thread-4
pivoted_height,0.09231948852539062,2022-08-20T01:37:04.165701,2022-08-20T01:37:04.260700,success,42193,Thread-4
pivoted_icp,0.07695364952087402,2022-08-20T01:37:04.261248,2022-08-20T01:37:04.340530,success,42193,Thread-4
pivoted_invasive_lines,0.6539821624755859,2022-08-20T01:37:04.341167,2022-08-20T01:37:04.998339,success,42193,Thread-4
pivoted_lab,0.23792362213134766,2022-08-20T01:37:04.999161,2022-08-20T01:37:05.240184,success,42193,Thread-4
pivoted_rrt,0.772674560546875,2022-08-20T01:37:05.241143,2022-08-20T01:37:06.548135,success,42193,Thread-4
pivoted_sofa,0.04558372497558594,2022-08-20T01:37:06.549622,2022-08-20T01:37:06.598681,error,42193,Thread-4
phenylephrine_dose,8.2668137550354,2022-08-20T01:37:03.009207,2022-08-20T01:37:11.279111,success,42193,Thread-3
pivoted_vital,0.1261148452758789,2022-08-20T01:37:11.279963,2022-08-20T01:37:11.414572,success,42193,Thread-3
norepinephrine_durations,8.940441608428955,2022-08-20T01:37:02.510717,2022-08-20T01:37:11.455699,success,42193,Thread-5
phenylephrine_durations,8.271741390228271,2022-08-20T01:37:03.365827,2022-08-20T01:37:11.640564,success,42193,Thread-2
potassium,0.44681453704833984,2022-08-20T01:37:11.415535,2022-08-20T01:37:11.865742,success,42193,Thread-3
rr,0.40438294410705566,2022-08-20T01:37:11.641567,2022-08-20T01:37:12.048947,success,42193,Thread-2
sbp,0.3675200939178467,2022-08-20T01:37:12.049458,2022-08-20T01:37:12.419084,success,42193,Thread-2
sodium,0.46510839462280273,2022-08-20T01:37:12.419619,2022-08-20T01:37:12.887043,success,42193,Thread-2
temp,0.38126230239868164,2022-08-20T01:37:12.887600,2022-08-20T01:37:13.271162,success,42193,Thread-2
rbc_transfusion,2.104506015777588,2022-08-20T01:37:11.456698,2022-08-20T01:37:13.564241,success,42193,Thread-5
rrt_first_day,2.2485768795013428,2022-08-20T01:37:11.866374,2022-08-20T01:37:14.118702,success,42193,Thread-3
pivoted_uo,7.695957899093628,2022-08-20T01:37:06.600164,2022-08-20T01:37:14.299040,success,42193,Thread-4
vasopressin_dose,3.632824659347534,2022-08-20T01:37:14.299698,2022-08-20T01:37:17.936247,success,42193,Thread-4
vasopressin_durations,2.014482021331787,2022-08-20T01:37:17.937276,2022-08-20T01:37:19.955163,success,42193,Thread-4
uo,7.329343318939209,2022-08-20T01:37:13.272431,2022-08-20T01:37:20.607126,success,42193,Thread-2
ventilation_classification,0.14986634254455566,2022-08-20T01:37:20.608153,2022-08-20T01:37:20.761409,success,42193,Thread-2
vitals_first_day,0.08989214897155762,2022-08-20T01:37:20.762575,2022-08-20T01:37:20.856300,success,42193,Thread-2
wbc,0.4639146327972412,2022-08-20T01:37:20.857231,2022-08-20T01:37:21.324780,success,42193,Thread-2
blood_gas_first_day_arterial,0.12310314178466797,2022-08-20T01:37:21.325692,2022-08-20T01:37:21.452789,success,42193,Thread-2
urine_output,8.046692848205566,2022-08-20T01:37:13.565158,2022-08-20T01:37:21.615488,success,42193,Thread-5
weight_durations,0.09975981712341309,2022-08-20T01:37:21.616502,2022-08-20T01:37:21.719815,success,42193,Thread-5
height_first_day,0.34262919425964355,2022-08-20T01:37:21.454073,2022-08-20T01:37:21.800196,success,42193,Thread-2
elixhauser_score_ahrq,0.18006420135498047,2022-08-20T01:37:21.800833,2022-08-20T01:37:21.983086,success,42193,Thread-2
urine_output_first_day,7.92870020866394,2022-08-20T01:37:14.119739,2022-08-20T01:37:22.051792,success,42193,Thread-3
weight_first_day,0.4096803665161133,2022-08-20T01:37:21.720595,2022-08-20T01:37:22.136881,success,42193,Thread-5
