node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
adenosine_durations,0.20288944244384766,2022-08-20T08:42:08.020269,2022-08-20T08:42:08.230790,success,90972,Thread-2
arterial_line_durations,0.4451789855957031,2022-08-20T08:42:08.022212,2022-08-20T08:42:08.475848,success,90972,Thread-5
auroc,0.252056360244751,2022-08-20T08:42:08.231825,2022-08-20T08:42:08.487832,success,90972,Thread-2
age_histogram,0.6381678581237793,2022-08-20T08:42:08.020604,2022-08-20T08:42:08.677788,success,90972,Thread-3
basic_patient_info,0.24162054061889648,2022-08-20T08:42:08.477018,2022-08-20T08:42:08.729348,success,90972,Thread-5
blood_gas_first_day,0.5869739055633545,2022-08-20T08:42:08.488559,2022-08-20T08:42:09.082184,success,90972,Thread-2
central_line_durations,0.35010647773742676,2022-08-20T08:42:08.729952,2022-08-20T08:42:09.085568,success,90972,Thread-5
bun,0.5158100128173828,2022-08-20T08:42:08.679015,2022-08-20T08:42:09.198009,success,90972,Thread-3
crrt_durations,0.09975576400756836,2022-08-20T08:42:09.198754,2022-08-20T08:42:09.301395,success,90972,Thread-3
colloid_bolus,0.301591157913208,2022-08-20T08:42:09.087722,2022-08-20T08:42:09.393967,success,90972,Thread-5
code_status,0.4410974979400635,2022-08-20T08:42:09.083587,2022-08-20T08:42:09.529357,success,90972,Thread-2
dobutamine_dose,1.2515287399291992,2022-08-20T08:42:09.394975,2022-08-20T08:42:10.650910,success,90972,Thread-5
dobutamine_durations,1.3530595302581787,2022-08-20T08:42:09.530056,2022-08-20T08:42:10.886339,success,90972,Thread-2
crystalloid_bolus,2.105952024459839,2022-08-20T08:42:09.302069,2022-08-20T08:42:11.410827,success,90972,Thread-3
echo_data,0.11904358863830566,2022-08-20T08:42:11.411581,2022-08-20T08:42:11.534793,success,90972,Thread-3
dopamine_dose,3.9185357093811035,2022-08-20T08:42:10.651746,2022-08-20T08:42:14.573664,success,90972,Thread-5
angus,6.8195555210113525,2022-08-20T08:42:08.021725,2022-08-20T08:42:14.849568,success,90972,Thread-4
dopamine_durations,4.472716569900513,2022-08-20T08:42:10.887320,2022-08-20T08:42:15.363096,success,90972,Thread-2
elixhauser_ahrq_v37_no_drg,1.221114158630371,2022-08-20T08:42:14.574864,2022-08-20T08:42:15.799720,success,90972,Thread-5
elixhauser_ahrq_v37,4.45880913734436,2022-08-20T08:42:11.535561,2022-08-20T08:42:15.998070,success,90972,Thread-3
ffp_transfusion,0.4992508888244629,2022-08-20T08:42:15.999426,2022-08-20T08:42:16.504023,success,90972,Thread-3
explicit,0.7527303695678711,2022-08-20T08:42:15.800855,2022-08-20T08:42:16.558053,success,90972,Thread-5
epinephrine_durations,1.2854197025299072,2022-08-20T08:42:15.363813,2022-08-20T08:42:16.651880,success,90972,Thread-2
gcs_first_day,0.26503801345825195,2022-08-20T08:42:16.559102,2022-08-20T08:42:16.827058,success,90972,Thread-5
gcs,0.512692928314209,2022-08-20T08:42:16.512616,2022-08-20T08:42:17.644491,success,90972,Thread-3
glucose,0.45193934440612793,2022-08-20T08:42:16.652625,2022-08-20T08:42:17.645912,success,90972,Thread-2
hco,0.4634993076324463,2022-08-20T08:42:16.827744,2022-08-20T08:42:17.647341,success,90972,Thread-5
height,0.14240717887878418,2022-08-20T08:42:17.649273,2022-08-20T08:42:17.800795,success,90972,Thread-2
icd9count,0.15156126022338867,2022-08-20T08:42:17.801889,2022-08-20T08:42:17.956361,success,90972,Thread-2
heart_rate,0.5409436225891113,2022-08-20T08:42:17.648242,2022-08-20T08:42:18.198609,success,90972,Thread-3
icd9agelimited,0.6537191867828369,2022-08-20T08:42:17.650287,2022-08-20T08:42:18.314075,success,90972,Thread-5
